type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,temperature_behavior,cycle_type,cycle_duration,avg_voltage,min_voltage,max_voltage,voltage_std,voltage_drop,voltage_gradient,avg_current,max_current,current_std,energy_approx,start_voltage,end_voltage,initial_temp,final_temp,temp_rise,temp_max,temp_min,temp_range
discharge,[2010.       7.      21.      15.       0.      35.093],4,B0047,0,1,00001.csv,1.6743047446975208,,,constant,discharge,6436.141,3.4752664759657903,2.470611866932728,4.246764125510136,0.2846255796735321,1.776152258577408,-0.0001425318012073325,-0.9527668403077523,0.000252388610586,0.20144763569935933,-15216.382355421681,4.246711253516259,3.329356483961897,6.212696115916043,8.756380752509184,2.5436846365931407,12.376815880696888,5.0080842944609065,7.368731586235982
impedance,[2010.       7.      21.      16.      53.      45.968],24,B0047,1,2,00002.csv,,0.05605783343888099,0.20097016584458333,constant,,,,,,,,,,,,,,,,,,,,
charge,[2010.       7.      21.      17.      25.      40.671],4,B0047,2,3,00003.csv,,,,constant,charge,10803.313,4.193520837869666,3.486189216310417,4.214594585505835,0.054021759160469425,0.7284053691954178,6.738980908378001e-05,0.5207924895446029,1.4943144350434685,0.5257079730405956,9114.007653020137,3.486189216310417,4.214222416852736,5.99014233448439,5.702059680886421,-0.2880826535979688,8.793624097800858,4.358202275987088,4.435421821813771
impedance,[2010    7   21   20   31    5],24,B0047,3,4,00004.csv,,0.05319185850921101,0.16473399914864734,constant,,,,,,,,,,,,,,,,,,,,
discharge,[2.0100e+03 7.0000e+00 2.1000e+01 2.1000e+01 2.0000e+00 5.6984e+01],4,B0047,4,5,00005.csv,1.5243662105099023,,,constant,discharge,5650.265,3.4765588189090355,2.477661652422805,4.186635709569866,0.27249491756368766,1.7089740571470609,-0.00018733264442611343,-0.9838885014038209,-0.0015358996096327,0.106707692501956,-13640.78555923372,4.186635709569866,3.128156625411552,5.454956719553112,10.804767936369926,5.349811216816813,11.314903320182369,5.454956719553112,5.859946600629256
charge,[2010.       7.      21.      22.      38.      43.484],4,B0047,5,6,00006.csv,,,,constant,charge,10802.077999999994,4.187504197003788,3.2527192825719458,4.214574140334718,0.07452189175825143,0.9618548577627721,8.893937719798667e-05,0.5186862418251199,1.4959111231788296,0.5179496336783909,8974.332709003684,3.2527192825719458,4.213449372336019,10.1455937779198,6.026994046971746,-4.118599730948054,10.1455937779198,4.161258444205254,5.9843353337145455
discharge,[2.010e+03 7.000e+00 2.200e+01 1.000e+00 4.000e+01 6.218e+00],4,B0047,6,7,00007.csv,1.5080762969973425,,,constant,discharge,5590.907,3.4707669643372343,2.4707098734854784,4.199922751479228,0.2785348039336943,1.7292128779937497,-0.0001918371054694061,-0.9838892612061609,-0.000745698662656,0.10731479696293067,-13503.76184008969,4.199922751479228,3.1273793356505872,6.145254125961212,10.109821688197014,3.9645675622358025,11.624528187721143,4.9221781193622345,6.702350068358909
charge,[2010.       7.      22.       3.      14.      53.218],4,B0047,7,8,00008.csv,,,,constant,charge,10807.688,4.189655069774906,3.255398852175642,4.214573442739502,0.07173332552383507,0.9591745905638596,8.87029516413994e-05,0.5135277214530581,1.4934226098552212,0.5133076569362579,8574.509504581656,3.255398852175642,4.214072678194975,9.371285850326036,4.2196445508583205,-5.151641299467715,9.371285850326036,3.948084866830133,5.423200983495903
discharge,[2010.       7.      22.       6.      16.      21.781],4,B0047,8,9,00009.csv,1.4835577960067696,,,constant,discharge,5543.61,3.4675514337042928,2.465457800547402,4.199568876812779,0.27841577779232307,1.734111076265377,-0.0001786943955571054,-0.9789465319710104,0.0003032433409723,0.12749941051411634,-13315.112732835667,4.199568876812779,3.208956838658454,4.553269274801158,10.213842699689234,5.660573424888076,11.0929238810592,4.553269274801158,6.539654606258042
charge,[2010.       7.      22.       7.      50.      21.625],4,B0047,9,10,00010.csv,,,,constant,charge,10805.687,4.191917514720392,3.3028547514790385,4.21468419824127,0.06764595176288131,0.9118294467622312,8.405510639800707e-05,0.5073739203979963,1.4941138234992282,0.5103028637232394,8371.080856710087,3.3028547514790385,4.2111279219676,9.599392228576075,4.683790704262096,-4.9156015243139795,9.599392228576075,4.02152139767389,5.577870830902185
